stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
Christians are tolerant,religion,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Christians are tolerant,Ukwuani *
Christians are kind,religion,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Christians are kind,Ukwuani *
Old people are wise,age,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Old people are wise,Ukwuani *
Old people do too much,age,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Old people do too much,Ukwuani *
Young people do not listen,age,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Young people do not listen,Ukwuani *
Young people think they have all the time in the world,age,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Young people think they have all the time in the world,Ukwuani *
Young people are reckless,age,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Young people are reckless,Ukwuani *
Doctors are smart,profession,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Doctors are smart,Ukwuani *
Doctors are hard-working,profession,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Doctors are hard-working,Ukwuani *
Artisans lie a lot,profession,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,fr,Artisans lie a lot,Ukwuani *
You can't trust artisans,profession,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,fr,You can't trust artisans,Ukwuani *
Nope,misc,0,Female  *,18–25 *,Employed *,IT & Software   *,Christianity  *,Rwanda *,Nigerian *,en,Nope,Ukwuani *
Women are weak,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,Women are weak,Igbo  * Idoma *
women are feminine,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women are feminine,Igbo  * Idoma *
women are dependent,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,women are dependent,Igbo  * Idoma *
women are dumb,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,women are dumb,Igbo  * Idoma *
women are small,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women are small,Igbo  * Idoma *
women are good cooks,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,women are good cooks,Igbo  * Idoma *
women are bad drivers,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,af,women are bad drivers,Igbo  * Idoma *
women are vulnerable,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women are vulnerable,Igbo  * Idoma *
women are naive,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women are naive,Igbo  * Idoma *
women talk too much,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women talk too much,Igbo  * Idoma *
women are impressionable,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,women are impressionable,Igbo  * Idoma *
women are gold diggers,women,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,af,women are gold diggers,Igbo  * Idoma *
Men are strong,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,sv,Men are strong,Igbo  * Idoma *
men  are smart,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,sv,men  are smart,Igbo  * Idoma *
men are hustlers,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,da,men are hustlers,Igbo  * Idoma *
men are bad cooks,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,men are bad cooks,Igbo  * Idoma *
men are logical,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,es,men are logical,Igbo  * Idoma *
men are big,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,da,men are big,Igbo  * Idoma *
men are providers,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,da,men are providers,Igbo  * Idoma *
men are emotionless,men,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,fr,men are emotionless,Igbo  * Idoma *
Igbo people are resourceful,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Igbo people are resourceful,Igbo  * Idoma *
Igbo people are cheats,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Igbo people are cheats,Igbo  * Idoma *
Igbo people are business oriented,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Igbo people are business oriented,Igbo  * Idoma *
Yoruba people are educated,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,ro,Yoruba people are educated,Igbo  * Idoma *
Yoruba people are intelligent,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,ro,Yoruba people are intelligent,Igbo  * Idoma *
Yoruba people are aggressive,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Yoruba people are aggressive,Igbo  * Idoma *
Yoruba people like to fight,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Yoruba people like to fight,Igbo  * Idoma *
Yoruba people hate others,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Yoruba people hate others,Igbo  * Idoma *
Yoruba people are ugly,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,ro,Yoruba people are ugly,Igbo  * Idoma *
Hausa people are dirty,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,fr,Hausa people are dirty,Igbo  * Idoma *
Hausa people sell suya,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,it,Hausa people sell suya,Igbo  * Idoma *
Hausa people are muslims,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,et,Hausa people are muslims,Igbo  * Idoma *
Hausa people are quiet,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,fr,Hausa people are quiet,Igbo  * Idoma *
Hausa people are slim,ethnicity_region,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,ro,Hausa people are slim,Igbo  * Idoma *
Muslims are conservative,religion,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Muslims are conservative,Igbo  * Idoma *
Christians are judgemental,religion,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,Christians are judgemental,Igbo  * Idoma *
Traditional worshippers are old school,religion,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Traditional worshippers are old school,Igbo  * Idoma *
Muslims are terrorists,religion,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Muslims are terrorists,Igbo  * Idoma *
Muslims are Bokoharam,religion,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,et,Muslims are Bokoharam,Igbo  * Idoma *
Old people are old school,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Old people are old school,Igbo  * Idoma *
old people are conservative,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,old people are conservative,Igbo  * Idoma *
old people are weak,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,old people are weak,Igbo  * Idoma *
old people complain too much,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,old people complain too much,Igbo  * Idoma *
young people are rude,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,young people are rude,Igbo  * Idoma *
young people are selfish,age,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,young people are selfish,Igbo  * Idoma *
Doctors are smart,profession,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Doctors are smart,Igbo  * Idoma *
Suya sellers give extra,profession,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,sv,Suya sellers give extra,Igbo  * Idoma *
engineers are smart,profession,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,nl,engineers are smart,Igbo  * Idoma *
nurses are prostitutes,profession,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,fr,nurses are prostitutes,Igbo  * Idoma *
Nurses are women,profession,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Nurses are women,Igbo  * Idoma *
Igbo women are beautiful,misc,1,Female  *,18–25 *,Employed *,Human centred design and UX Research *,Christianity  *,Nigeria *,Nigerian *,en,Igbo women are beautiful,Igbo  * Idoma *
Women are family leaders,women,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,Women are family leaders,Caucasian
women are business savvy,women,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,women are business savvy,Caucasian
women often do GIE,women,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,nl,women often do GIE,Caucasian
women are leading the tontines,women,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,women are leading the tontines,Caucasian
Men are lazy,men,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,es,Men are lazy,Caucasian
men are not reliable,men,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,no,men are not reliable,Caucasian
men are polite,men,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,ro,men are polite,Caucasian
lebou are fishermen,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,lebou are fishermen,Caucasian
wolof people are baol bao,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,wolof people are baol bao,Caucasian
pulaar people are discreet,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,ro,pulaar people are discreet,Caucasian
sereer people are strong minded,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,sereer people are strong minded,Caucasian
griot are artists,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,griot are artists,Caucasian
griots are creatives,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,griots are creatives,Caucasian
mouride people are by fall,ethnicity_region,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,mouride people are by fall,Caucasian
Muslims are polite,religion,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,et,Muslims are polite,Caucasian
muslims spiritual,religion,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,lt,muslims spiritual,Caucasian
muslims are peaceful,religion,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,ro,muslims are peaceful,Caucasian
christians are great nannies,religion,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,christians are great nannies,Caucasian
christians are great cook,religion,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,christians are great cook,Caucasian
Young people are impolite,age,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,Young people are impolite,Caucasian
young people are addicted to phones,age,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,young people are addicted to phones,Caucasian
young people are creatives,age,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,young people are creatives,Caucasian
young people are defying traditions,age,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,young people are defying traditions,Caucasian
old people are too influenced by France,age,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,old people are too influenced by France,Caucasian
tailors are so good,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,tailors are so good,Caucasian
tailors are always late,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,tailors are always late,Caucasian
tailors are always busy,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,tailors are always busy,Caucasian
carpenters are always late,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,carpenters are always late,Caucasian
carpenters are good,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,carpenters are good,Caucasian
carpenters are expensive,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,ro,carpenters are expensive,Caucasian
mechanics are not reliable,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,mechanics are not reliable,Caucasian
guards have a hard life,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,guards have a hard life,Caucasian
cops are corrupted,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,ro,cops are corrupted,Caucasian
gendarmes are less corrupted,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,fr,gendarmes are less corrupted,Caucasian
waiters are fun,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,waiters are fun,Caucasian
waiters are nice,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,en,waiters are nice,Caucasian
street vendors are brave,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,no,street vendors are brave,Caucasian
fruit vendors make good money,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,af,fruit vendors make good money,Caucasian
fruit vendors are pulaar,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,nl,Fruit Vendors Are Pulaar,Caucasian
coffee vendors are pulaar,profession,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,nl,coffee vendors are pulaar,Caucasian
Politicians are liers,misc,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,fr,Politicians are liers,Caucasian
Entrepreneurs are crazy,misc,2,Male *,36–50 *,Self-employed *,,Atheism  *,Senegal *,French *,fr,Entrepreneurs are crazy,Caucasian
Women are weak and meek,women,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,af,Women are weak and meek,Igbo  *
Women are the ones that hold the family together,women,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Women are the ones that hold the family together,Igbo  *
Men are domineering,men,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,Men are domineering,Igbo  *
men are the providers,men,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are the providers,Igbo  *
men are the head of the home,men,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are the head of the home,Igbo  *
Igbos are industrious,ethnicity_region,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Igbos are industrious,Igbo  *
people from the north are not so educated,ethnicity_region,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from the north are not so educated,Igbo  *
yorubas are very educated,ethnicity_region,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,yorubas are very educated,Igbo  *
Muslims can be fanatical,religion,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Muslims can be fanatical,Igbo  *
Old people are respected,age,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Old people are respected,Igbo  *
young people are respectful,age,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,young people are respectful,Igbo  *
Engineers are rich,profession,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Engineers are rich,Igbo  *
No,misc,3,Female  *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,No,Igbo  *
Women like money,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,no,Women like money,Yoruba * Ibibio *
Women are vain,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,nl,Women are vain,Yoruba * Ibibio *
Women must have children,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women must have children,Yoruba * Ibibio *
Women aren't as smart,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women aren't as smart,Yoruba * Ibibio *
Women can't drive,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women can't drive,Yoruba * Ibibio *
Women are too emotional,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women are too emotional,Yoruba * Ibibio *
Women aren't financial providers,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women aren't financial providers,Yoruba * Ibibio *
Women are impatient,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women are impatient,Yoruba * Ibibio *
Women are caring,women,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Women are caring,Yoruba * Ibibio *
Men cheat,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Men cheat,Yoruba * Ibibio *
Men are natural leaders,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,ca,Men are natural leaders,Yoruba * Ibibio *
Men are rational,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Men are rational,Yoruba * Ibibio *
Men are providers,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,da,Men are providers,Yoruba * Ibibio *
Men aren't emotional,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Men aren't emotional,Yoruba * Ibibio *
Men are powerful,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Men are powerful,Yoruba * Ibibio *
Men make better decisions,men,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,sv,Men make better decisions,Yoruba * Ibibio *
Igbo people like money,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,sl,Igbo people like money,Yoruba * Ibibio *
Yoruba people party a lot,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Yoruba people party a lot,Yoruba * Ibibio *
Yoruba people are loud,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,ro,Yoruba people are loud,Yoruba * Ibibio *
Ibibio people (women) can cook,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Ibibio people (women) can cook,Yoruba * Ibibio *
Northerners are uneducated,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Northerners are uneducated,Yoruba * Ibibio *
Igbo people are fraudsters,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,da,Igbo people are fraudsters,Yoruba * Ibibio *
Ibibio girls are prostitutes,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,it,Ibibio girls are prostitutes,Yoruba * Ibibio *
Ibibio people are househelps,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Ibibio people are househelps,Yoruba * Ibibio *
Yoruba people are traitors,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,ro,Yoruba people are traitors,Yoruba * Ibibio *
Northerners are holding the country back,ethnicity_region,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Northerners are holding the country back,Yoruba * Ibibio *
Muslims are backwards,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Muslims are backwards,Yoruba * Ibibio *
Muslims are pious,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Muslims are pious,Yoruba * Ibibio *
Christians are pretentious,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Christians are pretentious,Yoruba * Ibibio *
Muslims are intolerant,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Muslims are intolerant,Yoruba * Ibibio *
Traditional worshippers are evil,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Traditional worshippers are evil,Yoruba * Ibibio *
Muslims are violent,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,et,Muslims are violent,Yoruba * Ibibio *
Christians are lazy,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Christians are lazy,Yoruba * Ibibio *
Christians are unproductive,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,fr,Christians are unproductive,Yoruba * Ibibio *
Traditional worshippers kill people,religion,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Traditional worshippers kill people,Yoruba * Ibibio *
Young people are lazy,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Young people are lazy,Yoruba * Ibibio *
Old people pretend to be wise,age,5,Female  *,26–35 *,Employed *,"Design, Agency *",Agnostic *,Nigeria *,Nigerian *,en,Old people pretend to be wise,Yoruba * Ibibio *
