stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
Entrepreneurs are crazy,misc,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Entrepreneurs are crazy,['caucasian'],entrepreneurs,crazy
Women must have children,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women must have children,"['yoruba', 'ibibio']",women must,children
Ibibio people (women) can cook,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Ibibio people (women) can cook,"['yoruba', 'ibibio']",ibibio people,(women) can cook
Ibibio girls are prostitutes,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,it,Ibibio girls are prostitutes,"['yoruba', 'ibibio']",ibibio girls,prostitutes
Ibibio people are househelps,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Ibibio people are househelps,"['yoruba', 'ibibio']",ibibio people,are househelps
Skitmakers are secret money launderers,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,no,Skitmakers are secret money launderers,"['yoruba', 'ibibio']",skitmakers,secret money launderers
[Female] content creators are secret sex workers,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,[Female] content creators are secret sex workers,"['yoruba', 'ibibio']",[female] content creators,secret sex workers
Canadians are nice,ethnicity_region,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,ca,Canadians are nice,['other_black'],canadians,nice
tech people know everything,profession,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,tech people know everything,['other_black'],tech people,know everything
Na	70.30.230.86	Canada	Saint-Lambert		Pending,profession,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,id,Na	70,['other_black'],na,70
Na	70.30.230.86	Canada	Saint-Lambert		Pending,profession,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,id,86	Canada	Saint-Lambert		Pending,['other_black'],86,canada saint-lambert pending
AfriStereo Survey 	-OQiHIQrMbbnbtzV_-xB					6 mn	5/20/2025,profession,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,af,AfriStereo Survey 	-OQiHIQrMbbnbtzV_-xB					6 mn	5/20/2025,['other_black'],afristereo,survey -oqihiqrmbbnbtzv_-xb 6 mn 5/20/2025
People from Central are greedy,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Central are greedy,"['luhya', 'luo']",people from central,are greedy
People from Eastern are witches,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Eastern are witches,"['luhya', 'luo']",people from eastern,are witches
people from nyanza are prideful,ethnicity_region,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,it,people from nyanza are prideful,"['luhya', 'luo']",people from nyanza,are prideful
Sales people are persuasive,profession,7,Female,18–25 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,ca,Sales people are persuasive,"['luhya', 'luo']",sales people,are persuasive
les hommes mariés ne sont pas sportifs,men,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,married men are not athletic,['caucasian'],married men,not athletic
les lébous sont des pêcheurs,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Lébous are fishermen,['caucasian'],lébous,fishermen
les diolas sont petits,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The diolas are small,['caucasian'],the diolas,small
les peuls sont très grands,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The Fulani are very large,['caucasian'],the fulani,very large
les peuls sont des nomades,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Fulani are nomads,['caucasian'],fulani,nomads
les peuls sont éleveurs,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Fulani are breeders,['caucasian'],fulani,breeders
les 2eme femmes sont les favorites,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The 2nd women are the favorites,['caucasian'],the 2nd women,the favorites
les griots sont des artistes,ethnicity_region,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,griots are artists,['caucasian'],griots,artists
les anémistes ont des rites de passage,religion,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Anemists have rites of passage,['caucasian'],anemists,rites of passage
les personnes âgées font du diabète,age,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The elderly do diabetes,['caucasian'],elderly,do diabetes
les travailleurs du gouvernement sont corrompus,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,government workers are corrupt,['caucasian'],government workers,corrupt
les chauffeurs de taxi sont malpolis,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Taxi drivers are malpolis,['caucasian'],taxi drivers,malpolis
les chauffeurs de taxi sont des chauffards,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Taxi drivers are drivers,['caucasian'],taxi drivers,drivers
les sage-femmes sont rustres,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,midwives are rustic,['caucasian'],midwives,rustic
les sage-femmes font peur,profession,8,Female,26–35 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,The midwives are scary,['caucasian'],the midwives,scary
all women want to have children,women,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,all women want to have children,['idoma'],all women want to,children
idoma men are cheats,ethnicity_region,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,idoma men are cheats,['idoma'],idoma men,cheats
idoma people are lazy,ethnicity_region,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,it,idoma people are lazy,['idoma'],idoma people,are lazy
GEN zs are lazy,age,10,Female,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,pl,GEN zs are lazy,['idoma'],gen zs,lazy
Gen Z complain about everything. Gen Z are lazy. Gen Z don't believe in hardwork,age,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Gen Z complain about everything,['kikuyu'],gen,z complain about everything
Gen Z complain about everything. Gen Z are lazy. Gen Z don't believe in hardwork,age,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Gen Z don't believe in hardwork,['kikuyu'],gen,z don't believe in hardwork
Matatu touts are rude,profession,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,fr,Matatu touts are rude,['kikuyu'],matatu touts,rude
Kenyans are polite,misc,11,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,id,Kenyans are polite,['kikuyu'],kenyans,polite
Christian's aren't disciplined in their religion,religion,12,Male,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Christian's aren't disciplined in their religion,['kikuyu'],christian's,aren't disciplined in their religion
Doctor's are smart,profession,12,Male,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Doctor's are smart,['kikuyu'],doctor's,smart
People from mount Kenya are good in business. - what about other communities in business doing good?,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from mount Kenya are good in business,['kikuyu'],people from mount,kenya are good in business
People from mount Kenya are good in business. - what about other communities in business doing good?,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,- what about other communities in business doing good,['kikuyu'],-,what about other communities in business doing good
People from Kisii are associated with witchcraft,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Kisii are associated with witchcraft,['kikuyu'],people from kisii,are associated with witchcraft
People from Meru have anger issues,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Meru have anger issues,['kikuyu'],people from meru,have anger issues
People from the Coast are lazy and can't make good employees,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from the Coast are lazy and can't make good employees,['kikuyu'],people from the coast,are lazy and can't make good employees
lazy and vision-less.,age,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,lazy and vision-less,['kikuyu'],lazy,and vision-less
All doctors are drunkards,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,sv,All doctors are drunkards,['kikuyu'],all doctors,drunkards
all insurance brokers are conmen,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,all insurance brokers are conmen,['kikuyu'],all insurance brokers,conmen
developers have no social life too.,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,developers have no social life too,['kikuyu'],developers,no social life too
Probably stereotypes based on race & nationality.,misc,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Probably stereotypes based on race & nationality,['kikuyu'],probably,stereotypes based on race & nationality
Ex: Nigerians are way loud,misc,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Ex: Nigerians are way loud,['kikuyu'],ex: nigerians,way loud
Kenyans are way too aggressive with everything.,misc,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Kenyans are way too aggressive with everything,['kikuyu'],kenyans,way too aggressive with everything
People from Central love money,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Central love money,"['kikuyu', 'luhya']",people from central,love money
People from Rift Valley are very tribal,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Rift Valley are very tribal,"['kikuyu', 'luhya']",people from rift,valley are very tribal
People from Nyanza love to talk big,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,sl,People from Nyanza love to talk big,"['kikuyu', 'luhya']",people from nyanza,love to talk big
People from Western Kenya love food,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Western Kenya love food,"['kikuyu', 'luhya']",people from western,kenya love food
Pilots are arrogant,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,ca,Pilots are arrogant,"['kikuyu', 'luhya']",pilots,arrogant
Techies are smart,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Techies are smart,"['kikuyu', 'luhya']",techies,smart
policemen are dumb,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,fr,policemen are dumb,"['kikuyu', 'luhya']",policemen,dumb
traditional worshipper are devil worshippers.,religion,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,traditional worshipper are devil worshippers,['yoruba'],traditional worshipper,devil worshippers
successful female professionals are prostitutes,profession,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,it,successful female professionals are prostitutes,['yoruba'],successful female professionals,prostitutes
Members of the LGTBQ community need to be cured,misc,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Members of the LGTBQ community need to be cured,['yoruba'],members,of the lgtbq community need to be cured
Old woman are hard to get pregnant,age,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,nl,Old woman are hard to get pregnant,['igbo'],old woman,hard to get pregnant
hard working,women,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,af,hard working,['luhya'],hard,working
Women are soft materials. Women's place is in the kitchen. Women are strong.,women,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Women's place is in the kitchen,['kikuyu'],women's place,in the kitchen
Athletes are strong and talented,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Athletes are strong and talented,['kikuyu'],athletes,strong and talented
Confectioners and chefs are fat,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Confectioners and chefs are fat,['kikuyu'],confectioners and chefs,fat
Informaticians are clever.,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Informaticians are clever,['kikuyu'],informaticians,clever
Directors and managers are bossy,misc,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Directors and managers are bossy,['kikuyu'],directors and managers,bossy
Receptionists are not welcoming,misc,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Receptionists are not welcoming,['kikuyu'],receptionists,not welcoming
Luo people are loud and flamboyant,ethnicity_region,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Luo people are loud and flamboyant,"['kikuyu', 'luo']",luo people,are loud and flamboyant
Kikuyu people are stingy with money,ethnicity_region,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Kikuyu people are stingy with money,"['kikuyu', 'luo']",kikuyu people,are stingy with money
Business people are dishonest,profession,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Business people are dishonest,"['kikuyu', 'luo']",business people,are dishonest
women roles are in the kitchen,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,women roles are in the kitchen,['yoruba'],women roles,in the kitchen
all women must have children or get married,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,all women must have children or get married,['yoruba'],all women must,children or get married
People from Luo are wife beaters,ethnicity_region,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Luo are wife beaters,['luo'],people from luo,are wife beaters
kambas are promiscuous,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,lt,kambas are promiscuous,['luo'],kambas,promiscuous
luhyas love ugali tea and chicken,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,luhyas love ugali tea and chicken,['luo'],luhyas,love ugali tea and chicken
generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,ethnicity_region,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,['yoruba'],generous; people,from the east are entrepreneurial and untrustworthy; people from the southwest are loud
energetic; old people are closed-minded,age,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,energetic; old people are closed-minded,['yoruba'],energetic; old people,are closed-minded
les femmes peuhls ont les cheveux longs,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Little women have long hair,['caucasian'],little women,long hair
les Toucouleurs sont bruyants,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Toucouleurs are noisy,['caucasian'],toucouleurs,noisy
les baols baols sont des commercants,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Baols Baols are traders,['caucasian'],baols baols,traders
les diolas sont propres,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Diolas are clean,['caucasian'],diolas,clean
Les tailleurs sont toujours en retard,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The tailors are still late,['caucasian'],the tailors,still late
les lébous aiment l'eau,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lébous love water,['caucasian'],lébous,love water
les taximan sont impolis,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Taximan is rude,['caucasian'],taximan,rude
Les libanais sont des commercants,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lebanese are traders,['caucasian'],lebanese,traders
les libanais sont des medecins,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lebanese are doctors,['caucasian'],lebanese,doctors
40 years are old,age,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,40 years are old,['caucasian'],40 years,old
Teachers salary is in heaven,profession,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Teachers salary is in heaven,['hausa'],teachers salary,in heaven
Metal scrapers are thieves,misc,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Metal scrapers are thieves,['hausa'],metal scrapers,thieves
L’homme doit nourrir toute la famille,men,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Man must feed the whole family,"['wolof', 'peulh']",man,must feed the whole family
les Saint Louisiennes sont qoquettes,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The Saint Louisiennes are qcettes,"['wolof', 'peulh']",the saint louisiennes,qcettes
les peulh sont de petite taille,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The Peulh are small,"['wolof', 'peulh']",the peulh,small
les diola sont muscles et honnete,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The diola are muscles and honest,"['wolof', 'peulh']",the diola,muscles and honest
on a des mouvements de sectes,religion,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,We have sectors,"['wolof', 'peulh']",we,sectors
les transitaires ont beaucoup d'argent malhonnete,profession,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Transners have a lot of money Malhonnete,"['wolof', 'peulh']",transners,a lot of money malhonnete
L’homme africain est pauvre mais digne,misc,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,African man is poor but worthy,"['wolof', 'peulh']",african man,poor but worthy
People from Uganda are generous,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Uganda are generous,"['kikuyu', 'luo']",people from uganda,are generous
People from Kenya are energetic,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,no,People from Kenya are energetic,"['kikuyu', 'luo']",people from kenya,are energetic
People from South Africa are cultured,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from South Africa are cultured,"['kikuyu', 'luo']",people from south,africa are cultured
Finance people are hardworking,profession,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Finance people are hardworking,"['kikuyu', 'luo']",finance people,are hardworking
Les serreres sont trop rigoureux,ethnicity_region,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,The greenhouses are too rigorous,['wolof'],the greenhouses,too rigorous
Les professeurs sont des personnes compliqués,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,The teachers are complicated people,['wolof'],the teachers,complicated people
les menuisiers plombiers etcc sont des laxistes,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,"plumbers, etc",['wolof'],"plumbers,",etc
les menuisiers plombiers etcc sont des laxistes,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,are laxists,['wolof'],are,laxists
Creatives are open minded,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,Creatives are open minded,['luo'],creatives,open minded
investment bankers are arrogant,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,nl,investment bankers are arrogant,['luo'],investment bankers,arrogant
actuaries are smart,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,ro,actuaries are smart,['luo'],actuaries,smart
social status,misc,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,it,social status,['luo'],social,status
les sereres sont gourmands,ethnicity_region,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,The sereres are greedy,"['wolof', 'peulh']",the sereres,greedy
Les sociologues sont bavards,profession,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Sociologists are talkative,"['wolof', 'peulh']",sociologists,talkative
Les pratiquants de la religion vodoun sont des sorciers,ethnicity_region,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,The practitioners of the Vodoun religion are wizards,['fon'],the practitioners of the vodoun religion,wizards
les pratiquants des religions endogènes sont des sorciers,religion,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Practitioners of endogenous religions are wizards,['fon'],practitioners of endogenous religions,wizards
Les medecins sont sans emotions/sans coeur,profession,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,The doctors are without emotions/heartless,['fon'],the doctors,without emotions/heartless
Deltans are aggressive,ethnicity_region,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,Deltans are aggressive,['urhobo'],deltans,aggressive
some Nurses are rude and table,profession,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,some Nurses are rude and table,['urhobo'],some nurses,rude and table
Highly emotional and sentimental.Over protective of their children and when in love they are head over hills,women,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Over protective of their children and when in love they are head over hills,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",over protective of their children and when in love they,head over hills
Generally concerned about his family wellbeing . Strong and ambitious,men,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Generally concerned about his family wellbeing,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",generally,concerned about his family wellbeing
Generally concerned about his family wellbeing . Strong and ambitious,men,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Strong and ambitious,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",strong,and ambitious
The Ibos does not have high regards for their chiefs,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The Ibos does not have high regards for their chiefs,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",the ibos does not,high regards for their chiefs
most yorubas are tribalistic. The Ibos are very industrious and the yorubas are known to get scared easily.,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The Ibos are very industrious and the yorubas are known to get scared easily,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",the ibos,very industrious and the yorubas are known to get scared easily
Christians are more actively involved in evangelism and missionary but the Muslims are accused of islamization due largely to intolerance. Traditional worshipping is almost in extinction in Nigeria .,religion,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Traditional worshipping is almost in extinction in Nigeria,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",traditional worshipping,almost in extinction in nigeria
Wisdom is usually associated with age people and the youth are more in crime because of lack of work,age,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Wisdom is usually associated with age people and the youth are more in crime because of lack of work,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",wisdom is usually associated with age people,and the youth are more in crime because of lack of work
Medicine and law are royal profession. There is more money in oil jobs.Estate and trading are highly very lucrative,profession,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Medicine and law are royal profession,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",medicine and law,royal profession
