,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
81,Nurses are women,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Nurses are women,"['igbo', 'idoma']",nurses,women
82,Igbo women are beautiful,misc,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo women are beautiful,"['igbo', 'idoma']",igbo,beautiful
83,Women are family leaders,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Women are family leaders,['caucasian'],women,family leaders
84,women are business savvy,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are business savvy,['caucasian'],women,business savvy
85,women often do GIE,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,women often do GIE,['caucasian'],women,often do gie
86,women are leading the tontines,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are leading the tontines,['caucasian'],women,leading the tontines
87,Men are lazy,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,es,Men are lazy,['caucasian'],men,lazy
88,men are not reliable,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,no,men are not reliable,['caucasian'],men,not reliable
89,men are polite,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,men are polite,['caucasian'],men,polite
97,Muslims are polite,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,et,Muslims are polite,['caucasian'],muslims,polite
98,muslims spiritual,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,lt,muslims spiritual,['caucasian'],muslims,spiritual
99,muslims are peaceful,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,muslims are peaceful,['caucasian'],muslims,peaceful
100,christians are great nannies,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great nannies,['caucasian'],christians,great nannies
101,christians are great cook,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great cook,['caucasian'],christians,great cook
102,Young people are impolite,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Young people are impolite,['caucasian'],young people,are impolite
103,young people are addicted to phones,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are addicted to phones,['caucasian'],young people,are addicted to phones
104,young people are creatives,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are creatives,['caucasian'],young people,are creatives
105,young people are defying traditions,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are defying traditions,['caucasian'],young people,are defying traditions
106,old people are too influenced by France,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,old people are too influenced by France,['caucasian'],old people,are too influenced by france
107,tailors are so good,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are so good,['caucasian'],tailors,so good
108,tailors are always late,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always late,['caucasian'],tailors,always late
109,tailors are always busy,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always busy,['caucasian'],tailors,always busy
110,carpenters are always late,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are always late,['caucasian'],carpenters,always late
111,carpenters are good,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are good,['caucasian'],carpenters,good
112,carpenters are expensive,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,carpenters are expensive,['caucasian'],carpenters,expensive
113,mechanics are not reliable,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,mechanics are not reliable,['caucasian'],mechanics,not reliable
123,Politicians are liers,misc,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Politicians are liers,['caucasian'],politicians,liers
125,Women are weak and meek,women,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,Women are weak and meek,['igbo'],women,weak and meek
126,Women are the ones that hold the family together,women,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Women are the ones that hold the family together,['igbo'],women,the ones that hold the family together
127,Men are domineering,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,Men are domineering,['igbo'],men,domineering
128,men are the providers,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the providers,['igbo'],men,the providers
129,men are the head of the home,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the head of the home,['igbo'],men,the head of the home
130,Igbos are industrious,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Igbos are industrious,['igbo'],igbo,industrious
131,people from the north are not so educated,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,people from the north are not so educated,['igbo'],people from the north,are not so educated
132,yorubas are very educated,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,yorubas are very educated,['igbo'],yoruba,very educated
133,Muslims can be fanatical,religion,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Muslims can be fanatical,['igbo'],muslims,fanatical
134,Old people are respected,age,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Old people are respected,['igbo'],old people,are respected
135,young people are respectful,age,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,young people are respectful,['igbo'],young people,are respectful
136,Engineers are rich,profession,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Engineers are rich,['igbo'],engineers,rich
138,Women like money,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,no,Women like money,"['yoruba', 'ibibio']",women,like money
139,Women are vain,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,nl,Women are vain,"['yoruba', 'ibibio']",women,vain
141,Women aren't as smart,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't as smart,"['yoruba', 'ibibio']",women,aren't as smart
142,Women can't drive,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women can't drive,"['yoruba', 'ibibio']",women,can't drive
143,Women are too emotional,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are too emotional,"['yoruba', 'ibibio']",women,too emotional
144,Women aren't financial providers,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't financial providers,"['yoruba', 'ibibio']",women,aren't financial providers
145,Women are impatient,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are impatient,"['yoruba', 'ibibio']",women,impatient
146,Women are caring,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are caring,"['yoruba', 'ibibio']",women,caring
147,Men cheat,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men cheat,"['yoruba', 'ibibio']",men,cheat
148,Men are natural leaders,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ca,Men are natural leaders,"['yoruba', 'ibibio']",men,natural leaders
149,Men are rational,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are rational,"['yoruba', 'ibibio']",men,rational
150,Men are providers,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Men are providers,"['yoruba', 'ibibio']",men,providers
151,Men aren't emotional,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men aren't emotional,"['yoruba', 'ibibio']",men,aren't emotional
152,Men are powerful,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are powerful,"['yoruba', 'ibibio']",men,powerful
153,Men make better decisions,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sv,Men make better decisions,"['yoruba', 'ibibio']",men,make better decisions
154,Igbo people like money,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sl,Igbo people like money,"['yoruba', 'ibibio']",igbo,like money
155,Yoruba people party a lot,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Yoruba people party a lot,"['yoruba', 'ibibio']",yoruba,party a lot
156,Yoruba people are loud,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are loud,"['yoruba', 'ibibio']",yoruba,are loud
158,Northerners are uneducated,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are uneducated,"['yoruba', 'ibibio']",northerners,uneducated
159,Igbo people are fraudsters,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Igbo people are fraudsters,"['yoruba', 'ibibio']",igbo,are fraudsters
162,Yoruba people are traitors,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are traitors,"['yoruba', 'ibibio']",yoruba,are traitors
163,Northerners are holding the country back,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are holding the country back,"['yoruba', 'ibibio']",northerners,holding the country back
164,Muslims are backwards,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are backwards,"['yoruba', 'ibibio']",muslims,backwards
165,Muslims are pious,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are pious,"['yoruba', 'ibibio']",muslims,pious
166,Christians are pretentious,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Christians are pretentious,"['yoruba', 'ibibio']",christians,pretentious
167,Muslims are intolerant,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are intolerant,"['yoruba', 'ibibio']",muslims,intolerant
168,Traditional worshippers are evil,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Traditional worshippers are evil,"['yoruba', 'ibibio']",traditional worshippers,evil
169,Muslims are violent,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,et,Muslims are violent,"['yoruba', 'ibibio']",muslims,violent
170,Christians are lazy,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Christians are lazy,"['yoruba', 'ibibio']",christians,lazy
171,Christians are unproductive,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,fr,Christians are unproductive,"['yoruba', 'ibibio']",christians,unproductive
172,Traditional worshippers kill people,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Traditional worshippers kill people,"['yoruba', 'ibibio']",traditional worshippers,kill people
173,Young people are lazy,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Young people are lazy,"['yoruba', 'ibibio']",young people,are lazy
174,Old people pretend to be wise,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Old people pretend to be wise,"['yoruba', 'ibibio']",old people,pretend to be wise
175,Old people are wise,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Old people are wise,"['yoruba', 'ibibio']",old people,are wise
176,Young people are smart,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Young people are smart,"['yoruba', 'ibibio']",young people,are smart
177,Young people are reckless,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Young people are reckless,"['yoruba', 'ibibio']",young people,are reckless
178,Young people are fun,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Young people are fun,"['yoruba', 'ibibio']",young people,are fun
179,Old people are boring,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Old people are boring,"['yoruba', 'ibibio']",old people,are boring
180,Old people (women) are witches,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Old people (women) are witches,"['yoruba', 'ibibio']",old people,(women) are witches
181,Lawyers are argumentative,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Lawyers are argumentative,"['yoruba', 'ibibio']",lawyers,argumentative
182,Doctors aren't good listeners,profession,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,nl,Doctors aren't good listeners,"['yoruba', 'ibibio']",doctors,aren't good listeners
185,Women are more emotionally intelligent,women,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,Women are more emotionally intelligent,['other_black'],women,more emotionally intelligent
186,women are more mature,women,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,women are more mature,['other_black'],women,more mature
187,women are more caring,women,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,women are more caring,['other_black'],women,more caring
188,Men will be men,men,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,de,Men will be men,['other_black'],men,men
189,men are less emotional,men,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,fr,men are less emotional,['other_black'],men,less emotional
190,men are less crazy,men,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,fr,men are less crazy,['other_black'],men,less crazy
191,men are more rational,men,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,it,men are more rational,['other_black'],men,more rational
193,Americans are stupid,ethnicity_region,6,Male,26–35 *,Employed *,Finance *,Christianity,Other Country,Other Nationality,en,Americans are stupid,['other_black'],americans,stupid
