,Unnamed: 0,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,attribute_term,ethnic_identity,Person Assigned to,person assigned to
16,20.0,Christians are tolerant,religion,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are tolerant,christians,tolerant,['ukwuani'],Oluchi,
17,21.0,Christians are kind,religion,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Christians are kind,christians,kind,['ukwuani'],Oluchi,
18,22.0,Old people are wise,age,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people are wise,old people,are wise,['ukwuani'],Oluchi,
19,23.0,Old people do too much,age,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Old people do too much,old people,do too much,['ukwuani'],Oluchi,
20,24.0,Young people do not listen,age,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people do not listen,young people,do not listen,['ukwuani'],Oluchi,
21,25.0,Young people think they have all the time in the world,age,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people think they have all the time in the world,young people,think they have all the time in the world,['ukwuani'],Oluchi,
22,26.0,Young people are reckless,age,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Young people are reckless,young people,are reckless,['ukwuani'],Oluchi,
23,27.0,Doctors are smart,profession,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are smart,doctors,smart,['ukwuani'],Oluchi,
24,28.0,Doctors are hard-working,profession,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,en,Doctors are hard-working,doctors,hard-working,['ukwuani'],Oluchi,
25,29.0,Artisans lie a lot,profession,0.0,Female,18–25 *,Employed *,IT & Software   *,Christianity,Other Country,Nigerian,fr,Artisans lie a lot,artisans,lie a lot,['ukwuani'],Oluchi,
26,32.0,Women are weak,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Women are weak,women,weak,"['igbo', 'idoma']",Oluchi,
27,33.0,women are feminine,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are feminine,women,feminine,"['igbo', 'idoma']",Oluchi,
28,34.0,women are dependent,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dependent,women,dependent,"['igbo', 'idoma']",Oluchi,
29,35.0,women are dumb,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are dumb,women,dumb,"['igbo', 'idoma']",Oluchi,
30,36.0,women are small,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are small,women,small,"['igbo', 'idoma']",Oluchi,
31,37.0,women are good cooks,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,women are good cooks,women,good cooks,"['igbo', 'idoma']",Oluchi,
32,38.0,women are bad drivers,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are bad drivers,women,bad drivers,"['igbo', 'idoma']",Oluchi,
33,39.0,women are vulnerable,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are vulnerable,women,vulnerable,"['igbo', 'idoma']",Oluchi,
34,40.0,women are naive,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are naive,women,naive,"['igbo', 'idoma']",Oluchi,
35,41.0,women talk too much,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women talk too much,women,talk too much,"['igbo', 'idoma']",Oluchi,
36,42.0,women are impressionable,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,women are impressionable,women,impressionable,"['igbo', 'idoma']",Oluchi,
37,43.0,women are gold diggers,women,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,af,women are gold diggers,women,gold diggers,"['igbo', 'idoma']",Oluchi,
38,44.0,Men are strong,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,Men are strong,men,strong,"['igbo', 'idoma']",Oluchi,
39,45.0,men  are smart,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,sv,men  are smart,men,smart,"['igbo', 'idoma']",Oluchi,
40,46.0,men are hustlers,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are hustlers,men,hustlers,"['igbo', 'idoma']",Oluchi,
41,47.0,men are bad cooks,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,men are bad cooks,men,bad cooks,"['igbo', 'idoma']",Oluchi,
42,48.0,men are logical,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,es,men are logical,men,logical,"['igbo', 'idoma']",Oluchi,
43,49.0,men are big,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are big,men,big,"['igbo', 'idoma']",Oluchi,
44,50.0,men are providers,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,da,men are providers,men,providers,"['igbo', 'idoma']",Oluchi,
45,51.0,men are emotionless,men,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,men are emotionless,men,emotionless,"['igbo', 'idoma']",Oluchi,
46,52.0,Igbo people are resourceful,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are resourceful,igbo people,are resourceful,"['igbo', 'idoma']",Oluchi,
47,53.0,Igbo people are cheats,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are cheats,igbo people,are cheats,"['igbo', 'idoma']",Oluchi,
48,54.0,Igbo people are business oriented,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Igbo people are business oriented,igbo people,are business oriented,"['igbo', 'idoma']",Oluchi,
49,55.0,Yoruba people are educated,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are educated,yoruba people,are educated,"['igbo', 'idoma']",Oluchi,
50,56.0,Yoruba people are intelligent,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are intelligent,yoruba people,are intelligent,"['igbo', 'idoma']",Oluchi,
51,57.0,Yoruba people are aggressive,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people are aggressive,yoruba people,are aggressive,"['igbo', 'idoma']",Oluchi,
52,58.0,Yoruba people like to fight,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people like to fight,yoruba people,like to fight,"['igbo', 'idoma']",Oluchi,
53,59.0,Yoruba people hate others,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Yoruba people hate others,yoruba people,hate others,"['igbo', 'idoma']",Oluchi,
54,60.0,Yoruba people are ugly,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Yoruba people are ugly,yoruba people,are ugly,"['igbo', 'idoma']",Oluchi,
55,61.0,Hausa people are dirty,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are dirty,hausa people,are dirty,"['igbo', 'idoma']",Oluchi,
56,62.0,Hausa people sell suya,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,it,Hausa people sell suya,hausa people,sell suya,"['igbo', 'idoma']",Oluchi,
57,63.0,Hausa people are muslims,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Hausa people are muslims,hausa people,are muslims,"['igbo', 'idoma']",Oluchi,
58,64.0,Hausa people are quiet,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,Hausa people are quiet,hausa people,are quiet,"['igbo', 'idoma']",Oluchi,
59,65.0,Hausa people are slim,ethnicity_region,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,ro,Hausa people are slim,hausa people,are slim,"['igbo', 'idoma']",Oluchi,
60,66.0,Muslims are conservative,religion,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are conservative,muslims,conservative,"['igbo', 'idoma']",Oluchi,
61,67.0,Christians are judgemental,religion,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,Christians are judgemental,christians,judgemental,"['igbo', 'idoma']",Oluchi,
62,68.0,Traditional worshippers are old school,religion,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Traditional worshippers are old school,traditional worshippers,old school,"['igbo', 'idoma']",Oluchi,
63,69.0,Muslims are terrorists,religion,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are terrorists,muslims,terrorists,"['igbo', 'idoma']",Oluchi,
64,70.0,Muslims are Bokoharam,religion,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Muslims are Bokoharam,muslims,bokoharam,"['igbo', 'idoma']",Oluchi,
65,71.0,Old people are old school,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Old people are old school,old people,are old school,"['igbo', 'idoma']",Oluchi,
66,72.0,old people are conservative,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are conservative,old people,are conservative,"['igbo', 'idoma']",Oluchi,
67,73.0,old people are weak,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are weak,old people,are weak,"['igbo', 'idoma']",Oluchi,
68,74.0,old people complain too much,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people complain too much,old people,complain too much,"['igbo', 'idoma']",Oluchi,
69,75.0,young people are rude,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are rude,young people,are rude,"['igbo', 'idoma']",Oluchi,
70,76.0,young people are selfish,age,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are selfish,young people,are selfish,"['igbo', 'idoma']",Oluchi,
71,77.0,Doctors are smart,profession,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Doctors are smart,doctors,smart,"['igbo', 'idoma']",Oluchi,
72,79.0,engineers are smart,profession,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,engineers are smart,engineers,smart,"['igbo', 'idoma']",Oluchi,
73,80.0,nurses are prostitutes,profession,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,nurses are prostitutes,nurses,prostitutes,"['igbo', 'idoma']",Oluchi,
74,81.0,Nurses are women,profession,1.0,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Nurses are women,nurses,women,"['igbo', 'idoma']",Oluchi,
75,83.0,Women are family leaders,women,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Women are family leaders,women,family leaders,['caucasian'],Oluchi,
76,84.0,women are business savvy,women,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are business savvy,women,business savvy,['caucasian'],Oluchi,
77,85.0,women often do GIE,women,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,women often do GIE,women,often do 'GIE',['caucasian'],Oluchi,
78,86.0,women are leading the tontines,women,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are leading the tontines,women,lead 'tontines',['caucasian'],Oluchi,
79,87.0,Men are lazy,men,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,es,Men are lazy,men,lazy,['caucasian'],Oluchi,
80,88.0,men are not reliable,men,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,no,men are not reliable,men,not reliable,['caucasian'],Oluchi,
81,89.0,men are polite,men,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,men are polite,men,polite,['caucasian'],Oluchi,
82,97.0,Muslims are polite,religion,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,et,Muslims are polite,muslims,polite,['caucasian'],Oluchi,
83,98.0,muslims spiritual,religion,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,lt,muslims spiritual,muslims,spiritual,['caucasian'],Oluchi,
84,99.0,muslims are peaceful,religion,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,muslims are peaceful,muslims,peaceful,['caucasian'],Oluchi,
85,100.0,christians are great nannies,religion,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great nannies,christians,great nannies,['caucasian'],Oluchi,
86,101.0,christians are great cook,religion,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great cook,christians,great cooks,['caucasian'],Oluchi,
87,102.0,Young people are impolite,age,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Young people are impolite,young people,are impolite,['caucasian'],Oluchi,
88,103.0,young people are addicted to phones,age,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are addicted to phones,young people,are addicted to phones,['caucasian'],Oluchi,
89,104.0,young people are creatives,age,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are creatives,young people,are creatives,['caucasian'],Oluchi,
90,105.0,young people are defying traditions,age,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are defying traditions,young people,are defying traditions,['caucasian'],Oluchi,
91,106.0,old people are too influenced by France,age,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,old people are too influenced by France,old people,are too influenced by france,['caucasian'],Oluchi,
92,107.0,tailors are so good,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are so good,tailors,good,['caucasian'],Oluchi,
93,108.0,tailors are always late,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always late,tailors,always late,['caucasian'],Oluchi,
94,109.0,tailors are always busy,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always busy,tailors,always busy,['caucasian'],Oluchi,
95,110.0,carpenters are always late,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are always late,carpenters,always late,['caucasian'],Oluchi,
96,111.0,carpenters are good,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are good,carpenters,good,['caucasian'],Oluchi,
97,112.0,carpenters are expensive,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,carpenters are expensive,carpenters,expensive,['caucasian'],Oluchi,
98,113.0,mechanics are not reliable,profession,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,mechanics are not reliable,mechanics,not reliable,['caucasian'],Oluchi,
99,123.0,Politicians are liers,misc,2.0,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Politicians are liers,politicians,liars,['caucasian'],Oluchi,
100,125.0,Women are weak and meek,women,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,Women are weak and meek,women,weak,['igbo'],Oluchi,
101,,Women are weak and meek,women,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,Women are weak and meek,women,meek,['igbo'],Oluchi,
102,126.0,Women are the ones that hold the family together,women,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Women are the ones that hold the family together,women,hold the family together,['igbo'],Oluchi,
103,127.0,Men are domineering,men,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,Men are domineering,men,domineering,['igbo'],Oluchi,
104,128.0,men are the providers,men,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the providers,men,the providers,['igbo'],Oluchi,
105,129.0,men are the head of the home,men,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the head of the home,men,the head of the home,['igbo'],Oluchi,
106,130.0,Igbos are industrious,ethnicity_region,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Igbos are industrious,igbo people,industrious,['igbo'],Oluchi,
107,131.0,people from the north are not so educated,ethnicity_region,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,people from the north are not so educated,people from northern nigeria,uneducated ,['igbo'],Oluchi,
108,132.0,yorubas are very educated,ethnicity_region,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,yorubas are very educated,yoruba people,very educated,['igbo'],Oluchi,
109,133.0,Muslims can be fanatical,religion,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Muslims can be fanatical,muslims,fanatical,['igbo'],Oluchi,
110,134.0,Old people are respected,age,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Old people are respected,old people,are respected,['igbo'],Oluchi,
111,135.0,young people are respectful,age,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,young people are respectful,young people,are respectful,['igbo'],Oluchi,
112,136.0,Engineers are rich,profession,3.0,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Engineers are rich,engineers,rich,['igbo'],Oluchi,
113,138.0,Women like money,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,no,Women like money,women,like money,"['yoruba', 'ibibio']",Oluchi,
114,139.0,Women are vain,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,nl,Women are vain,women,vain,"['yoruba', 'ibibio']",Oluchi,
115,141.0,Women aren't as smart,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't as smart,women,not smart,"['yoruba', 'ibibio']",Oluchi,
116,142.0,Women can't drive,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women can't drive,women,can't drive,"['yoruba', 'ibibio']",Oluchi,
117,143.0,Women are too emotional,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are too emotional,women,too emotional,"['yoruba', 'ibibio']",Oluchi,
118,144.0,Women aren't financial providers,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't financial providers,women,aren't financial providers,"['yoruba', 'ibibio']",Oluchi,
119,145.0,Women are impatient,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are impatient,women,impatient,"['yoruba', 'ibibio']",Oluchi,
120,146.0,Women are caring,women,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are caring,women,caring,"['yoruba', 'ibibio']",Oluchi,
121,147.0,Men cheat,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men cheat,men,cheat,"['yoruba', 'ibibio']",Oluchi,
122,148.0,Men are natural leaders,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ca,Men are natural leaders,men,natural leaders,"['yoruba', 'ibibio']",Oluchi,
123,149.0,Men are rational,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are rational,men,rational,"['yoruba', 'ibibio']",Oluchi,
124,150.0,Men are providers,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Men are providers,men,providers,"['yoruba', 'ibibio']",Oluchi,
125,151.0,Men aren't emotional,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men aren't emotional,men,not emotional,"['yoruba', 'ibibio']",Oluchi,
126,152.0,Men are powerful,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are powerful,men,powerful,"['yoruba', 'ibibio']",Oluchi,
127,153.0,Men make better decisions,men,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sv,Men make better decisions,men,make better decisions,"['yoruba', 'ibibio']",Oluchi,
128,154.0,Igbo people like money,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sl,Igbo people like money,igbo people,like money,"['yoruba', 'ibibio']",Oluchi,
129,155.0,Yoruba people party a lot,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Yoruba people party a lot,yoruba people,party a lot,"['yoruba', 'ibibio']",Oluchi,
130,156.0,Yoruba people are loud,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are loud,yoruba people,are loud,"['yoruba', 'ibibio']",Oluchi,
131,158.0,Northerners are uneducated,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are uneducated,people from northern nigeria,uneducated,"['yoruba', 'ibibio']",Oluchi,
132,159.0,Igbo people are fraudsters,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Igbo people are fraudsters,igbo people,are fraudsters,"['yoruba', 'ibibio']",Oluchi,
133,162.0,Yoruba people are traitors,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are traitors,yoruba people,are traitors,"['yoruba', 'ibibio']",Oluchi,
134,163.0,Northerners are holding the country back,ethnicity_region,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are holding the country back,people from northern nigeria,holding the country back,"['yoruba', 'ibibio']",Oluchi,
135,164.0,Muslims are backwards,religion,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are backwards,muslims,backwards,"['yoruba', 'ibibio']",Oluchi,
136,165.0,Muslims are pious,religion,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are pious,muslims,pious,"['yoruba', 'ibibio']",Oluchi,
137,166.0,Christians are pretentious,religion,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Christians are pretentious,christians,pretentious,"['yoruba', 'ibibio']",Oluchi,
138,167.0,Muslims are intolerant,religion,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are intolerant,muslims,intolerant,"['yoruba', 'ibibio']",Oluchi,
139,168.0,Traditional worshippers are evil,religion,5.0,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Traditional worshippers are evil,traditional worshippers,evil,"['yoruba', 'ibibio']",Oluchi,
