Unnamed: 0,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,Person Assigned to
69,Muslims are terrorists,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Muslims are terrorists,muslims,,terrorists,,"['igbo', 'idoma']",Oluchi
70,Muslims are Bokoharam,religion,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,et,Muslims are Bokoharam,muslims,,bokoharam,,"['igbo', 'idoma']",Oluchi
71,Old people are old school,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Old people are old school,old people,,are old school,,"['igbo', 'idoma']",Oluchi
72,old people are conservative,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are conservative,old people,,are conservative,,"['igbo', 'idoma']",Oluchi
73,old people are weak,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people are weak,old people,,are weak,,"['igbo', 'idoma']",Oluchi
74,old people complain too much,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,old people complain too much,old people,,complain too much,,"['igbo', 'idoma']",Oluchi
75,young people are rude,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are rude,young people,,are rude,,"['igbo', 'idoma']",Oluchi
76,young people are selfish,age,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,young people are selfish,young people,,are selfish,,"['igbo', 'idoma']",Oluchi
77,Doctors are smart,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Doctors are smart,doctors,,smart,,"['igbo', 'idoma']",Oluchi
79,engineers are smart,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,nl,engineers are smart,engineers,,smart,,"['igbo', 'idoma']",Oluchi
80,nurses are prostitutes,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,fr,nurses are prostitutes,nurses,,prostitutes,,"['igbo', 'idoma']",Oluchi
81,Nurses are women,profession,1,Female,18–25 *,Employed *,Human centred design and UX Research *,Christianity,Nigeria,Nigerian,en,Nurses are women,nurses,,women,,"['igbo', 'idoma']",Oluchi
83,Women are family leaders,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Women are family leaders,women,,family leaders,,['caucasian'],Oluchi
84,women are business savvy,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are business savvy,women,,business savvy,,['caucasian'],Oluchi
85,women often do GIE,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,nl,women often do GIE,women,,often do gie,often do 'GIE',['caucasian'],Oluchi
86,women are leading the tontines,women,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,women are leading the tontines,women,,leading the tontines,lead 'tontines',['caucasian'],Oluchi
87,Men are lazy,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,es,Men are lazy,men,,lazy,,['caucasian'],Oluchi
88,men are not reliable,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,no,men are not reliable,men,,not reliable,,['caucasian'],Oluchi
89,men are polite,men,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,men are polite,men,,polite,,['caucasian'],Oluchi
97,Muslims are polite,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,et,Muslims are polite,muslims,,polite,,['caucasian'],Oluchi
98,muslims spiritual,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,lt,muslims spiritual,muslims,,spiritual,,['caucasian'],Oluchi
99,muslims are peaceful,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,muslims are peaceful,muslims,,peaceful,,['caucasian'],Oluchi
100,christians are great nannies,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great nannies,christians,,great nannies,,['caucasian'],Oluchi
101,christians are great cook,religion,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,christians are great cook,christians,,great cook,great cooks,['caucasian'],Oluchi
102,Young people are impolite,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,Young people are impolite,young people,,are impolite,,['caucasian'],Oluchi
103,young people are addicted to phones,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are addicted to phones,young people,,are addicted to phones,,['caucasian'],Oluchi
104,young people are creatives,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are creatives,young people,,are creatives,,['caucasian'],Oluchi
105,young people are defying traditions,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,young people are defying traditions,young people,,are defying traditions,,['caucasian'],Oluchi
106,old people are too influenced by France,age,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,old people are too influenced by France,old people,,are too influenced by france,,['caucasian'],Oluchi
107,tailors are so good,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are so good,tailors,,so good,good,['caucasian'],Oluchi
108,tailors are always late,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always late,tailors,,always late,,['caucasian'],Oluchi
109,tailors are always busy,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,tailors are always busy,tailors,,always busy,,['caucasian'],Oluchi
110,carpenters are always late,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are always late,carpenters,,always late,,['caucasian'],Oluchi
111,carpenters are good,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,carpenters are good,carpenters,,good,,['caucasian'],Oluchi
112,carpenters are expensive,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,ro,carpenters are expensive,carpenters,,expensive,,['caucasian'],Oluchi
113,mechanics are not reliable,profession,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,en,mechanics are not reliable,mechanics,,not reliable,,['caucasian'],Oluchi
123,Politicians are liers,misc,2,Male,36–50 *,Self-employed *,,Atheism,Senegal,Other Nationality,fr,Politicians are liers,politicians,,liers,liars,['caucasian'],Oluchi
125,Women are weak and meek,women,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,Women are weak and meek,women,,weak and meek,weak,['igbo'],Oluchi
,Women are weak and meek,women,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,af,Women are weak and meek,women,women,,meek,['igbo'],Oluchi
126,Women are the ones that hold the family together,women,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Women are the ones that hold the family together,women,,the ones that hold the family together,hold the family together,['igbo'],Oluchi
127,Men are domineering,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,Men are domineering,men,,domineering,,['igbo'],Oluchi
128,men are the providers,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the providers,men,,the providers,,['igbo'],Oluchi
129,men are the head of the home,men,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,men are the head of the home,men,,the head of the home,,['igbo'],Oluchi
130,Igbos are industrious,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Igbos are industrious,igbo,igbo people,industrious,,['igbo'],Oluchi
131,people from the north are not so educated,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,people from the north are not so educated,people from the north,people from Northern Nigeria,are not so educated,uneducated ,['igbo'],Oluchi
132,yorubas are very educated,ethnicity_region,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,yorubas are very educated,yoruba,yoruba people,very educated,,['igbo'],Oluchi
133,Muslims can be fanatical,religion,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Muslims can be fanatical,muslims,,fanatical,,['igbo'],Oluchi
134,Old people are respected,age,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Old people are respected,old people,,are respected,,['igbo'],Oluchi
135,young people are respectful,age,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,young people are respectful,young people,,are respectful,,['igbo'],Oluchi
136,Engineers are rich,profession,3,Female,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Engineers are rich,engineers,,rich,,['igbo'],Oluchi
138,Women like money,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,no,Women like money,women,,like money,,"['yoruba', 'ibibio']",Oluchi
139,Women are vain,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,nl,Women are vain,women,,vain,,"['yoruba', 'ibibio']",Oluchi
141,Women aren't as smart,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't as smart,women,,aren't as smart,not smart,"['yoruba', 'ibibio']",Oluchi
142,Women can't drive,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women can't drive,women,,can't drive,,"['yoruba', 'ibibio']",Oluchi
143,Women are too emotional,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are too emotional,women,,too emotional,,"['yoruba', 'ibibio']",Oluchi
144,Women aren't financial providers,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women aren't financial providers,women,,aren't financial providers,,"['yoruba', 'ibibio']",Oluchi
145,Women are impatient,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are impatient,women,,impatient,,"['yoruba', 'ibibio']",Oluchi
146,Women are caring,women,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Women are caring,women,,caring,,"['yoruba', 'ibibio']",Oluchi
147,Men cheat,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men cheat,men,,cheat,,"['yoruba', 'ibibio']",Oluchi
148,Men are natural leaders,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ca,Men are natural leaders,men,,natural leaders,,"['yoruba', 'ibibio']",Oluchi
149,Men are rational,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are rational,men,,rational,,"['yoruba', 'ibibio']",Oluchi
150,Men are providers,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Men are providers,men,,providers,,"['yoruba', 'ibibio']",Oluchi
151,Men aren't emotional,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men aren't emotional,men,,aren't emotional,not emotional,"['yoruba', 'ibibio']",Oluchi
152,Men are powerful,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Men are powerful,men,,powerful,,"['yoruba', 'ibibio']",Oluchi
153,Men make better decisions,men,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sv,Men make better decisions,men,,make better decisions,,"['yoruba', 'ibibio']",Oluchi
154,Igbo people like money,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,sl,Igbo people like money,igbo,igbo people,like money,,"['yoruba', 'ibibio']",Oluchi
155,Yoruba people party a lot,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Yoruba people party a lot,yoruba,yoruba people,party a lot,,"['yoruba', 'ibibio']",Oluchi
156,Yoruba people are loud,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are loud,yoruba,yoruba people,are loud,,"['yoruba', 'ibibio']",Oluchi
158,Northerners are uneducated,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are uneducated,northerners,people from Northern Nigeria,uneducated,,"['yoruba', 'ibibio']",Oluchi
159,Igbo people are fraudsters,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,da,Igbo people are fraudsters,igbo,igbo people,are fraudsters,,"['yoruba', 'ibibio']",Oluchi
162,Yoruba people are traitors,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,ro,Yoruba people are traitors,yoruba,yoruba people,are traitors,,"['yoruba', 'ibibio']",Oluchi
163,Northerners are holding the country back,ethnicity_region,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Northerners are holding the country back,northerners,people from Northern Nigeria,holding the country back,,"['yoruba', 'ibibio']",Oluchi
164,Muslims are backwards,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are backwards,muslims,,backwards,,"['yoruba', 'ibibio']",Oluchi
165,Muslims are pious,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are pious,muslims,,pious,,"['yoruba', 'ibibio']",Oluchi
166,Christians are pretentious,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Christians are pretentious,christians,,pretentious,,"['yoruba', 'ibibio']",Oluchi
167,Muslims are intolerant,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Muslims are intolerant,muslims,,intolerant,,"['yoruba', 'ibibio']",Oluchi
168,Traditional worshippers are evil,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Traditional worshippers are evil,traditional worshippers,,evil,,"['yoruba', 'ibibio']",Oluchi
169,Muslims are violent,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,et,Muslims are violent,muslims,,violent,,"['yoruba', 'ibibio']",Oluchi
170,Christians are lazy,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Christians are lazy,christians,,lazy,,"['yoruba', 'ibibio']",Oluchi
171,Christians are unproductive,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,fr,Christians are unproductive,christians,,unproductive,,"['yoruba', 'ibibio']",Oluchi
172,Traditional worshippers kill people,religion,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Traditional worshippers kill people,traditional worshippers,,kill people,,"['yoruba', 'ibibio']",Oluchi
173,Young people are lazy,age,5,Female,26–35 *,Employed *,"Design, Agency *",Agnostic,Nigeria,Nigerian,en,Young people are lazy,young people,,are lazy,,"['yoruba', 'ibibio']",Oluchi
