stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,person assigned to
People from the Coast are lazy and can't make good employees,ethnicity_region,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from the Coast are lazy and can't make good employees,people from the coast,people from the Kenyan coast,are lazy and can't make good employees,lazy,['kikuyu'],Oluchi
,,,,,,,,,,,,,people from the Kenyan coast,,can't make good employees,,
All doctors are drunkards,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,sv,All doctors are drunkards,all doctors,doctors,drunkards,,['kikuyu'],Oluchi
all insurance brokers are conmen,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,all insurance brokers are conmen,all insurance brokers,insurance brokers ,conmen,,['kikuyu'],Oluchi
developers have no social life too.,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,developers have no social life too,developers,software developer,no social life too,no social life,['kikuyu'],Oluchi
Ex: Nigerians are way loud,misc,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Ex: Nigerians are way loud,ex: nigerians,nigerians,way loud,loud,['kikuyu'],Oluchi
Kenyans are way too aggressive with everything.,misc,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Kenyans are way too aggressive with everything,kenyans,,way too aggressive with everything,,['kikuyu'],Oluchi
People from Central love money,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Central love money,people from central,people from central Kenya,love money,,"['kikuyu', 'luhya']",Oluchi
People from Rift Valley are very tribal,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Rift Valley are very tribal,people from rift,people from rift valley,valley are very tribal,very tribal,"['kikuyu', 'luhya']",Oluchi
People from Nyanza love to talk big,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,sl,People from Nyanza love to talk big,people from nyanza,,love to talk big,,"['kikuyu', 'luhya']",Oluchi
People from Western Kenya love food,ethnicity_region,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,People from Western Kenya love food,people from western,people from western Kenya,kenya love food,love food,"['kikuyu', 'luhya']",Oluchi
Pilots are arrogant,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,ca,Pilots are arrogant,pilots,,arrogant,,"['kikuyu', 'luhya']",Oluchi
Techies are smart,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Techies are smart,techies,teachers,smart,,"['kikuyu', 'luhya']",Oluchi
policemen are dumb,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,fr,policemen are dumb,policemen,,dumb,,"['kikuyu', 'luhya']",Oluchi
traditional worshipper are devil worshippers.,religion,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,traditional worshipper are devil worshippers,traditional worshipper,traditional worshippers,devil worshippers,,['yoruba'],Oluchi
successful female professionals are prostitutes,profession,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,it,successful female professionals are prostitutes,successful female professionals,,prostitutes,,['yoruba'],Oluchi
Members of the LGTBQ community need to be cured,misc,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Members of the LGTBQ community need to be cured,members,members of the LGBTQ community,of the lgtbq community need to be cured,need to be cured,['yoruba'],Oluchi
Old woman are hard to get pregnant,age,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,nl,Old woman are hard to get pregnant,old woman,old women,hard to get pregnant,,['igbo'],Oluchi
hard working,women,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,af,hard working,hard,women,working,hard working,['luhya'],Oluchi
Women are soft materials. Women's place is in the kitchen. Women are strong.,women,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Women's place is in the kitchen,women's place,women,in the kitchen,belong in the kitchen,['kikuyu'],Oluchi
Athletes are strong and talented,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Athletes are strong and talented,athletes,,strong and talented,strong,['kikuyu'],Oluchi
,,,,,,,,,,,,,athletes,,talented,,
Confectioners and chefs are fat,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Confectioners and chefs are fat,confectioners and chefs,chefs,fat,,['kikuyu'],Oluchi
Informaticians are clever.,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Informaticians are clever,informaticians,,clever,,['kikuyu'],Oluchi
Directors and managers are bossy,misc,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Directors and managers are bossy,directors and managers,managers,bossy,,['kikuyu'],Oluchi
Receptionists are not welcoming,misc,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Receptionists are not welcoming,receptionists,,not welcoming,,['kikuyu'],Oluchi
Luo people are loud and flamboyant,ethnicity_region,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Luo people are loud and flamboyant,luo people,,are loud and flamboyant,are loud,"['kikuyu', 'luo']",Oluchi
,,,,,,,,,,,,,luo people,,are flamboyant,,
Kikuyu people are stingy with money,ethnicity_region,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Kikuyu people are stingy with money,kikuyu people,,are stingy with money,,"['kikuyu', 'luo']",Oluchi
Business people are dishonest,profession,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Business people are dishonest,business people,,are dishonest,,"['kikuyu', 'luo']",Oluchi
women roles are in the kitchen,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,women roles are in the kitchen,women roles,women,in the kitchen,belong in the kitchen,['yoruba'],Oluchi
all women must have children or get married,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,all women must have children or get married,all women must,women,children or get married,must have children,['yoruba'],Oluchi
,,,,,,,,,,,,,women,,must get married,,
People from Luo are wife beaters,ethnicity_region,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Luo are wife beaters,people from luo,luo people,are wife beaters,,['luo'],Oluchi
kambas are promiscuous,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,lt,kambas are promiscuous,kambas,kamba people,promiscuous,,['luo'],Oluchi
luhyas love ugali tea and chicken,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,luhyas love ugali tea and chicken,luhyas,luhya people,love ugali tea and chicken,love ugali,['luo'],Oluchi
,,,,,,,,,,,,,luhya people,,love tea,,
,,,,,,,,,,,,,luhya people,,love chicken,,
generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,ethnicity_region,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,generous; people,people from the southwest Nigeria,from the east are entrepreneurial and untrustworthy; people from the southwest are loud,loud,['yoruba'],Oluchi
energetic; old people are closed-minded,age,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,energetic; old people are closed-minded,energetic; old people,old people,are closed-minded,,['yoruba'],Oluchi
les femmes peuhls ont les cheveux longs,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Little women have long hair,little women,peulh women,long hair,,['caucasian'],Oluchi
les Toucouleurs sont bruyants,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Toucouleurs are noisy,toucouleurs,toucouleur people,noisy,,['caucasian'],Oluchi
les baols baols sont des commercants,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Baols Baols are traders,baols baols,baol bao people,traders,,['caucasian'],Oluchi
les diolas sont propres,ethnicity_region,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Diolas are clean,diolas,diola people,clean,,['caucasian'],Oluchi
Les tailleurs sont toujours en retard,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The tailors are still late,the tailors,tailors,still late,,['caucasian'],Oluchi
les lébous aiment l'eau,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lébous love water,lébous,lebou people,love water,,['caucasian'],Oluchi
les taximan sont impolis,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Taximan is rude,taximan,taxi men,rude,,['caucasian'],Oluchi
Les libanais sont des commercants,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lebanese are traders,lebanese,lebanese people,traders,,['caucasian'],Oluchi
les libanais sont des medecins,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Lebanese are doctors,lebanese,lebanese people,doctors,,['caucasian'],Oluchi
40 years are old,age,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,40 years are old,40 years,40 year olds,old,,['caucasian'],Oluchi
Metal scrapers are thieves,misc,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Metal scrapers are thieves,metal scrapers,metal scrapers,thieves,,['hausa'],Oluchi
L’homme doit nourrir toute la famille,men,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Man must feed the whole family,man,men,must feed the whole family,,"['wolof', 'peulh']",Oluchi
les Saint Louisiennes sont qoquettes,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The Saint Louisiennes are qcettes,the saint louisiennes,people from saint louis,flirty,,"['wolof', 'peulh']",Oluchi
les peulh sont de petite taille,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The Peulh are small,the peulh,peulh people,small in size,,"['wolof', 'peulh']",Oluchi
les diola sont muscles et honnete,ethnicity_region,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,The diola are muscles and honest,the diola,diola people,muscles and honest,muscular,"['wolof', 'peulh']",Oluchi
,,,,,,,,,,,,,diola people,,honest,,
L’homme africain est pauvre mais digne,misc,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,African man is poor but worthy,african man,african men,poor but worthy,poor but dignified ,"['wolof', 'peulh']",Oluchi
People from Uganda are generous,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Uganda are generous,people from uganda,,are generous,,"['kikuyu', 'luo']",Oluchi
People from Kenya are energetic,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,no,People from Kenya are energetic,people from kenya,,are energetic,,"['kikuyu', 'luo']",Oluchi
People from South Africa are cultured,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from South Africa are cultured,people from south,people from south Africa,africa are cultured,cultured,"['kikuyu', 'luo']",Oluchi
Finance people are hardworking,profession,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Finance people are hardworking,finance people,,are hardworking,,"['kikuyu', 'luo']",Oluchi
Les serreres sont trop rigoureux,ethnicity_region,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,The greenhouses are too rigorous,the greenhouses,serer people,too rigorous,too strict,['wolof'],Oluchi
Les professeurs sont des personnes compliqués,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,The teachers are complicated people,the teachers,teachers ,complicated people,,['wolof'],Oluchi
les menuisiers plombiers etcc sont des laxistes,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,"plumbers, etc","plumbers,",plumbers,etc,relaxed,['wolof'],Oluchi
les menuisiers plombiers etcc sont des laxistes,profession,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,are laxists,are,carpenters,laxists,relaxed,['wolof'],Oluchi
Creatives are open minded,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,Creatives are open minded,creatives,,open minded,,['luo'],Oluchi
investment bankers are arrogant,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,nl,investment bankers are arrogant,investment bankers,,arrogant,,['luo'],Oluchi
actuaries are smart,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,ro,actuaries are smart,actuaries,,smart,,['luo'],Oluchi
les sereres sont gourmands,ethnicity_region,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,The sereres are greedy,the sereres,serer people,greedy,,"['wolof', 'peulh']",Oluchi
Les sociologues sont bavards,profession,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Sociologists are talkative,sociologists,,talkative,,"['wolof', 'peulh']",Oluchi
Les pratiquants de la religion vodoun sont des sorciers,ethnicity_region,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,The practitioners of the Vodoun religion are wizards,the practitioners of the vodoun religion,practitioners of the voodoo religion,wizards,,['fon'],Oluchi
les pratiquants des religions endogènes sont des sorciers,religion,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Practitioners of endogenous religions are wizards,practitioners of endogenous religions,,wizards,,['fon'],Oluchi
Les medecins sont sans emotions/sans coeur,profession,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,The doctors are without emotions/heartless,the doctors,doctors,without emotions/heartless,heartless,['fon'],Oluchi
Deltans are aggressive,ethnicity_region,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,no,Deltans are aggressive,deltans,people from Delta state,aggressive,,['urhobo'],Oluchi
some Nurses are rude and table,profession,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,some Nurses are rude and table,some nurses,nurses,rude and table,rude,['urhobo'],Oluchi
Highly emotional and sentimental.Over protective of their children and when in love they are head over hills,women,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Over protective of their children and when in love they are head over hills,over protective of their children and when in love they,women,head over hills,overprotective of their children,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
,,,,,,,,,,,,,women,,highly sensitive,,
Generally concerned about his family wellbeing . Strong and ambitious,men,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Generally concerned about his family wellbeing,generally,men,concerned about his family wellbeing,concerned about their family's wellbeing,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
,,,,,,,,,,,,,men,,strong,,
,,,,,,,,,,,,,men,,ambitious,,
The Ibos does not have high regards for their chiefs,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The Ibos does not have high regards for their chiefs,the ibos does not,igbo people,high regards for their chiefs,does not have high regard for their chiefs,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
